latitude	longitude	name	circle_radius
50.057135	14.554138	1	22.000km
50.663288	14.71344	2	54.000km
49.848593	15.188599	3	47.000km
50.394497	15.814819	4	53.000km
49.678234	16.589355	5	63.000km
49.211769	15.595093	6	46.000km
49.617854	13.980103	7	48.000km
50.201547	14.029541	8	27.000km
50.162826	12.939148	9	62.000km
50.602414	13.793335	10	27.000km
48.974484	14.397583	11	50.000km
49.419376	14.820557	12	25.000km
49.509159	12.913055	13	34.000km
49.201438	13.471985	14	28.000km
48.942351	13.687592	15	8.000km
49.654682	18.143921	16	54.000km
50.155804	17.234802	17	40.000km
49.151165	17.558899	18	42.000km
48.891824	16.850281	19	32.000km
48.939646	16.273499	20	29.000km
